No.,No. 2,Description,Price EXW,Description 2,Inventory,Net Change,Unit Price,Unit Price Including VAT,Unit Cost,Profit %,Base Unit of Measure,Blocked,Division Code,Item Category Code,Recipe Item Type,Barcode No.,BRANDS,Gen. Prod. Posting Group,Transfer Posting Group,Inventory Posting Group,Division Description,Item Category Description,Retail Product Code,DisCountinue,Unit Cost1,Retail Product Description,Qty. Onhand at Date,VAT Bus. Posting Gr. (Price),Date Created,Created by User,Last DateTime Modified,Last Modified by User,Gross Weight,Net Weight,No Discount Allowed,Price Includes VAT
26-861,FK25,قطع تركيب FK25,0.00,F/KIT OIL PAN SPACER,4.,4.,95.00,95.00,40.40,51.09474,PCS,FALSE,CARS ACCES,KITS, ,881348003287,ARB,PRODUCT,TRANSFER,INV,Cars Accessories,Kits,FITTING KI,FALSE,40.40,Fitting Kits,4.,VAT,13/3/2019,ZAIDG\RITD013,23/07/24 15:22:39,24552,0.,0.,FALSE,TRUE
26-862,2974E,مساعد 2974E,0.00,COIL PATROL Y61 F EUROPEAN(L),22.,22.,850.00,850.00,394.555,46.61903,PCS,FALSE,CARS ACCES,SUSPENSION, ,9319092023936,ARB,PRODUCT,TRANSFER,INV,Cars Accessories,Suspensions,BP51 SHOCK,FALSE,394.555,BP51 Shocks,22.,VAT,13/3/2019,ZAIDG\RITD013,29/04/26 08:28:49,30485,0.,0.,FALSE,TRUE
26-863,10900021,قاعدة ثلاجة ARB لتر 47.35,0.00,ARB FRIDGE SLIDE 35/47L,11.,11.,"1,350.00","1,350.00",637.644,45.68218,PCS,FALSE,FRIDGE COO,FRIDGES, ,9332018003287,ARB,PRODUCT,TRANSFER,INV,Fridge Coolers,Fridges,CARRY BAGS,FALSE,637.644,Fridges Carry Bags,11.,VAT,13/3/2019,ZAIDG\RITD013,29/04/26 08:28:48,30485,0.,0.,FALSE,TRUE
26-864,2605,ياي 2605,0.00,COIL MITS TRITON-06 ON,1.,1.,690.00,690.00,321.96,46.34,PCS,FALSE,CARS ACCES,SUSPENSION, ,9319092021949,ARB,PRODUCT,TRANSFER,INV,Cars Accessories,Suspensions,BP51 SHOCK,FALSE,321.96,BP51 Shocks,1.,VAT,13/3/2019,ZAIDG\RITD013,19/05/26 14:31:40,25275,0.,0.,FALSE,TRUE
26-865,90008,مساعد  90008,0.00,SPORT STRUT MITS TRITOM ML -F-,18.,18.,780.00,780.00,314.684,53.60428,PCS,FALSE,CARS ACCES,SUSPENSION, ,9312891030099,ARB,PRODUCT,TRANSFER,INV,Cars Accessories,Suspensions,BP51 SHOCK,FALSE,314.684,BP51 Shocks,18.,VAT,13/3/2019,ZAIDG\RITD013,29/04/26 08:28:00,30485,0.,0.,FALSE,TRUE
26-866,CRRD80,ادراج CRRD80,0.00,REAR RACK & DIV 80 SERIES L/C,0.,0.,"3,105.00","3,105.00",0.00,0.,PCS,FALSE,CARS ACCES,MOTOR ACCE, ,9332018014061,ARB,PRODUCT,TRANSFER,INV,Cars Accessories,Motor Accessories,AIR LOCKER,TRUE,0.00,Air Lockers,0.,VAT,13/3/2019,ZAIDG\RITD013,06/05/25 12:40:33,35822,0.,0.,FALSE,TRUE
26-867,5700251,حامل كفر  5700251,0.00,LH RWC SUITS LC100/LC200/GU,2.,2.,"3,450.00","3,450.00","1,580.10",47.33,PCS,FALSE,CARS ACCES,CARS PROTE, ,9332018044341,ARB,PRODUCT,TRANSFER,INV,Cars Accessories,Cars Protections,BARS CARS,FALSE,"1,580.10",Bars,2.,VAT,13/3/2019,ZAIDG\RITD013,13/09/25 10:06:33,30570,0.,0.,FALSE,TRUE
26-868,OMETH005,ربكة مساعدات,0.00,TOP HAT,0.,0.,250.00,250.00,0.00,0.,PCS,FALSE,CARS ACCES,SUSPENSION, ,9332018027429,ARB,PRODUCT,TRANSFER,INV,Cars Accessories,Suspensions,BP51 SHOCK,TRUE,0.00,BP51 Shocks,0.,VAT,13/3/2019,ZAIDG\RITD013,06/05/25 12:40:33,35822,0.,0.,FALSE,TRUE
26-869,2939,يايات,0.00,COIL JEEP TJ-F-EXPORT ONLY,0.,0.,305.00,305.00,292.27,-10.20016,PCS,FALSE,CARS ACCES,SUSPENSION, ,9319092023547,ARB,PRODUCT,TRANSFER,INV,Cars Accessories,Suspensions,BP51 SHOCK,TRUE,292.27,BP51 Shocks,0.,VAT,13/3/2019,ZAIDG\RITD013,23/07/24 15:22:39,24552,0.,0.,FALSE,TRUE
26-87,N53,مساعدات N53,0.00,NITROCHARGER MAZ B SER 8 26/87,16.,16.,217.00,217.00,120.77,35.99747,PCS,FALSE,CARS ACCES,SUSPENSION, ,9312891013849,ARB,PRODUCT,TRANSFER,INV,Cars Accessories,Suspensions,BP51 SHOCK,TRUE,120.77,BP51 Shocks,16.,VAT,13/3/2019,ZAIDG\RITD013,23/07/24 15:22:39,24552,0.,0.,FALSE,TRUE
