Type,No.,Standard Price Including VAT,Offer Price Including VAT
Item,18-798,12.00,4.00
Item,18-801,17.00,4.00
Item,18-802,20.00,4.00
Item,18-805,30.00,9.00
Item,18-806,20.00,5.00
Item,18-807,95.00,20.00
Item,18-816,22.00,5.00
Item,18-817,40.00,8.00
Item,18-818,48.00,8.00
Item,18-819,48.00,13.00
Item,18-820,47.00,10.00
Item,18-825,245.00,154.00
Item,18-829,25.00,6.00
Item,18-830,75.00,16.00
Item,18-833,62.00,15.00
Item,18-834,32.00,10.00
Item,18-835,20.00,6.00
Item,18-836,10.00,3.00
Item,18-842,11.00,3.00
Item,18-843,9.00,3.00
Item,18-848,47.00,10.00
Item,18-850,55.00,17.00
Item,18-851,82.00,25.00
Item,18-853,125.00,38.00
Item,18-855,87.00,26.00
Item,18-862,267.00,56.00
Item,18-864,114.00,24.00
Item,18-865,114.00,24.00
Item,18-867,66.00,18.00
Item,18-868,96.00,29.00
Item,18-871,134.00,69.00
Item,18-872,39.00,12.00
Item,18-878,180.00,54.00
Item,18-882,132.00,99.00
Item,18-885,310.00,109.00
Item,18-892,650.00,228.00
Item,18-893,95.00,47.00
Item,18-896,20.00,16.00
Item,18-900,225.00,39.00
Item,18-901,185.00,39.00
Item,18-902,195.00,39.00
Item,18-903,195.00,39.00
Item,18-905,210.00,39.00
Item,18-906,254.00,39.00
Item,18-910,255.00,89.00
Item,18-912,385.00,174.00
Item,18-913,"1,385.00",699.00
Item,18-914,885.00,379.00
Item,18-919,145.00,49.00
Item,18-920,191.00,119.00
Item,18-921,145.00,69.00
Item,18-922,95.00,59.00
Item,18-923,275.00,129.00
Item,18-933,"1,485.00",594.00
Item,18-935,48.00,19.00
Item,18-936,45.00,19.00
Item,18-937,46.00,19.00
Item,18-942,68.00,49.00
Item,18-947,885.00,499.00
Item,18-948,148.00,99.00
Item,18-949,185.00,81.00
Item,18-950,245.00,139.00
Item,18-951,285.00,149.00
Item,18-959,226.00,95.00
Item,18-960,178.00,79.00
Item,18-978,46.00,26.00
Item,19-160,8.00,2.00
Item,19-242,22.00,5.00
Item,19-328,7.00,1.00
Item,19-337,15.00,4.00
Item,19-340,5.00,1.00
Item,19-344,52.00,18.00
Item,19-347,37.00,8.00
Item,19-351,10.00,2.00
Item,19-352,12.00,3.00
Item,19-363,15.00,4.00
Item,19-367,40.00,10.00
Item,19-374,15.00,5.00
Item,19-375,15.00,5.00
Item,19-376,23.00,6.00
Item,19-378,17.00,5.00
Item,19-381,32.00,10.00
Item,19-382,11.00,3.00
Item,19-383,15.00,4.00
Item,19-384,9.00,3.00
Item,19-385,14.00,3.00
Item,19-386,7.00,2.00
Item,19-387,12.00,4.00
Item,19-388,42.00,21.00
Item,19-389,15.00,5.00
Item,19-390,22.00,7.00
Item,19-391,96.00,29.00
Item,19-394,160.00,56.00
Item,19-408,24.00,14.00
Item,19-42,20.00,6.00
Item,2-11,26.00,22.00
Item,22-1014,95.00,20.00
Item,22-1015,72.00,15.00
Item,22-1019,10.00,2.00
Item,22-1026,55.00,20.00
Item,22-1031,95.00,20.00
Item,22-1042,82.00,18.00
Item,22-1043,15.00,4.00
Item,22-1056,20.00,6.00
Item,22-1062,20.00,4.00
Item,22-1067,37.00,24.00
Item,22-1068,85.00,26.00
Item,22-1070,22.00,9.00
Item,22-1072,70.00,15.00
Item,22-1087,190.00,57.00
Item,22-1088,22.00,16.00
Item,22-1090,22.00,5.00
Item,22-1094,6.00,1.00
Item,22-1096,22.00,5.00
Item,22-1099,10.00,3.00
Item,22-1103,7.00,2.00
Item,22-1110,35.00,8.00
Item,22-1119,45.00,36.00
Item,22-1124,140.00,42.00
Item,22-1127,"1,065.00",223.00
Item,22-1128,615.00,129.00
Item,22-1131,98.00,69.00
Item,22-1143,12.00,4.00
Item,22-1144,38.00,15.00
Item,22-1145,17.00,5.00
Item,22-1146,42.00,9.00
Item,22-1152,"4,312.00",905.00
Item,22-1157,12.00,3.00
Item,22-1168,5.00,1.00
Item,22-1170,52.00,11.00
Item,22-1174,175.00,99.00
Item,22-1183,125.00,49.00
Item,22-1184,35.00,8.00
Item,22-1186,10.00,2.00
Item,22-1187,70.00,21.00
Item,22-1196,37.00,8.00
Item,22-1202,12.00,3.00
Item,22-1203,32.00,7.00
Item,22-1204,32.00,7.00
Item,22-1205,32.00,7.00
Item,22-1206,32.00,7.00
Item,22-1207,5.00,1.00
Item,22-1208,35.00,8.00
Item,22-1209,16.00,6.00
Item,22-1210,20.00,10.00
Item,22-1220,5.00,1.00
Item,22-1224,62.00,13.00
Item,22-1234,72.00,22.00
Item,22-1235,42.00,9.00
Item,22-1241,17.00,4.00
Item,22-1243,10.00,3.00
Item,22-1247,35.00,8.00
Item,22-1254,7.00,3.00
Item,22-1255,10.00,4.00
Item,22-1257,12.00,3.00
Item,22-1258,"1,377.00",289.00
Item,22-1262,7.00,2.00
Item,22-1270,47.00,10.00
Item,22-1272,60.00,13.00
Item,22-1273,62.00,13.00
Item,22-1276,82.00,18.00
Item,22-1288,10.00,4.00
Item,22-1289,72.00,22.00
Item,22-1293,17.00,6.00
Item,22-1299,55.00,12.00
Item,22-1310,17.00,6.00
Item,22-1311,107.00,32.00
Item,22-1313,15.00,4.00
Item,22-1316,22.00,5.00
Item,22-1318,10.00,2.00
Item,22-1319,12.00,3.00
Item,22-1321,15.00,4.00
Item,22-1323,170.00,36.00
Item,22-1324,300.00,63.00
Item,22-1325,5.00,2.00
Item,22-1329,40.00,20.00
Item,22-1330,5.00,1.00
Item,22-1331,10.00,2.00
Item,22-1332,5.00,2.00
Item,22-1333,7.00,2.00
Item,22-1334,10.00,2.00
Item,22-1335,10.00,2.00
Item,22-1336,5.00,1.00
Item,22-1337,9.00,2.00
Item,22-1339,25.00,6.00
Item,22-1350,275.00,57.00
Item,22-1351,275.00,57.00
Item,22-1352,275.00,57.00
Item,22-1353,275.00,57.00
Item,22-1355,"1,352.00",405.00
Item,22-1366,72.00,25.00
Item,22-1372,37.00,9.00
Item,22-1374,24.00,5.00
Item,22-1376,77.00,16.00
Item,22-1377,15.00,4.00
Item,22-1382,15.00,5.00
Item,22-1385,47.00,10.00
Item,22-1391,402.00,84.00
Item,22-1395,750.00,158.00
Item,22-1396,77.00,18.00
Item,22-1397,52.00,14.00
Item,22-1403,102.00,22.00
Item,22-1411,100.00,30.00
Item,22-1412,62.00,13.00
Item,22-1414,95.00,23.00
Item,22-1415,42.00,9.00
Item,22-1416,15.00,6.00
Item,22-1419,32.00,7.00
Item,22-1420,395.00,195.00
Item,22-1423,42.00,12.00
Item,22-1427,35.00,8.00
Item,22-1428,55.00,12.00
Item,22-1429,42.00,10.00
Item,22-1430,10.00,2.00
Item,22-1431,24.00,5.00
Item,22-1433,25.00,6.00
Item,22-1436,127.00,27.00
Item,22-1437,217.00,46.00
Item,22-1438,22.00,5.00
Item,22-1443,22.00,5.00
Item,22-1446,22.00,6.00
Item,22-1448,5.00,1.00
Item,22-1449,102.00,22.00
Item,22-1450,9.00,2.00
Item,22-1451,5.00,1.00
Item,22-1453,20.00,4.00
Item,22-1457,95.00,20.00
Item,22-1463,62.00,19.00
Item,22-1464,55.00,15.00
Item,22-1465,10.00,2.00
Item,22-1466,112.00,24.00
Item,22-1471,6.00,1.00
Item,22-1473,10.00,2.00
Item,22-1475,25.00,8.00
Item,22-1479,231.00,116.00
Item,22-1488,255.00,89.00
Item,22-1494,22.00,5.00
Item,22-1508,22.00,5.00
Item,22-1510,17.00,4.00
Item,22-1514,227.00,48.00
Item,22-1515,122.00,25.00
Item,22-1517,5.00,2.00
Item,22-1518,15.00,5.00
Item,22-1519,172.00,60.00
Item,22-1521,212.00,64.00
Item,22-1524,47.00,14.00
Item,22-1525,95.00,23.00
Item,22-1527,570.00,120.00
Item,22-1528,35.00,8.00
Item,22-1533,15.00,5.00
Item,22-1536,21.00,4.00
Item,22-1538,400.00,108.00
Item,22-1540,37.00,13.00
Item,22-1542,7.00,1.00
Item,22-1544,87.00,18.00
Item,22-1545,17.00,4.00
Item,22-1547,22.00,5.00
Item,22-1550,15.00,5.00
Item,22-1552,37.00,8.00
Item,22-1553,202.00,42.00
Item,22-1563,82.00,20.00
Item,22-1564,40.00,8.00
Item,22-1567,20.00,5.00
Item,22-1570,70.00,15.00
Item,22-1577,447.00,94.00
Item,22-1580,127.00,38.00
Item,22-1581,15.00,5.00
Item,22-1582,55.00,12.00
Item,22-1586,95.00,29.00
Item,22-1588,15.00,4.00
Item,22-1589,20.00,5.00
Item,22-1590,17.00,5.00
Item,22-1594,7.00,2.00
Item,22-1596,140.00,29.00
Item,22-1597,12.00,3.00
Item,22-1598,55.00,12.00
Item,22-1599,77.00,16.00
Item,22-1600,287.00,60.00
Item,22-1601,114.00,24.00
Item,22-1604,17.00,5.00
Item,22-1605,15.00,6.00
Item,22-1607,22.00,5.00
Item,22-1610,40.00,14.00
Item,22-1616,100.00,30.00
Item,22-1618,18.00,5.00
Item,22-1620,30.00,9.00
Item,22-1621,115.00,35.00
Item,22-1623,425.00,89.00
Item,22-1624,75.00,23.00
Item,22-1629,229.00,183.00
Item,22-1630,485.00,169.00
Item,22-1632,730.00,175.00
Item,22-1635,132.00,99.00
Item,22-1644,152.00,41.00
Item,22-1646,15.00,4.00
Item,22-1647,20.00,4.00
Item,22-1648,28.00,19.00
Item,22-1652,47.00,24.00
Item,22-1653,107.00,29.00
Item,22-1655,55.00,12.00
Item,22-1657,35.00,8.00
Item,22-1660,15.00,4.00
Item,22-1661,22.00,6.00
Item,22-1662,20.00,4.00
Item,22-1663,9.00,2.00
Item,22-1664,17.00,4.00
Item,22-1669,62.00,13.00
Item,22-1673,90.00,19.00
Item,22-1675,32.00,7.00
Item,22-1676,55.00,20.00
Item,22-1679,23.00,7.00
Item,22-1680,22.00,7.00
Item,22-1681,122.00,36.00
Item,22-1685,112.00,34.00
Item,22-1687,140.00,70.00
Item,22-1689,110.00,23.00
Item,22-1690,102.00,35.00
Item,22-1691,920.00,193.00
Item,22-1694,110.00,33.00
Item,22-1695,34.00,10.00
Item,22-1697,30.00,9.00
Item,22-1698,15.00,4.00
Item,22-1699,75.00,16.00
Item,22-1702,15.00,5.00
Item,22-1707,20.00,7.00
Item,22-1724,375.00,78.00
Item,22-1725,547.00,115.00
Item,22-1726,5.00,1.00
Item,22-1727,12.00,4.00
Item,22-1731,52.00,11.00
Item,22-1732,37.00,9.00
Item,22-1733,40.00,12.00
Item,22-1737,55.00,12.00
Item,22-1745,72.00,22.00
Item,22-1749,8.00,2.00
Item,22-1752,18.00,5.00
Item,22-1753,6.00,2.00
Item,22-1755,102.00,31.00
Item,22-1759,40.00,8.00
Item,22-1760,12.00,3.00
Item,22-1763,42.00,13.00
Item,22-1766,22.00,7.00
Item,22-1767,25.00,6.00
Item,22-1772,5.00,1.00
Item,22-1774,15.00,4.00
Item,22-1775,17.00,4.00
Item,22-1776,25.00,9.00
Item,22-1779,62.00,19.00
Item,22-1780,42.00,13.00
Item,22-1782,5.00,2.00
Item,22-1783,5.00,2.00
Item,22-1784,185.00,39.00
Item,22-1785,15.00,5.00
Item,22-1788,197.00,41.00
Item,22-1793,112.00,24.00
Item,22-1795,5.00,2.00
Item,22-1796,42.00,13.00
Item,22-1797,15.00,5.00
Item,22-1798,62.00,13.00
Item,22-1799,5.00,2.00
Item,22-1801,2.00,1.00
Item,22-1804,6.00,2.00
Item,22-1806,18.00,6.00
Item,22-1808,56.00,24.00
Item,22-1812,30.00,6.00
Item,22-1813,39.00,8.00
Item,22-1815,48.00,10.00
Item,22-1816,51.00,11.00
Item,22-1817,140.00,29.00
Item,22-1819,145.00,44.00
Item,22-1820,107.00,32.00
Item,22-1821,40.00,34.00
Item,22-1823,18.00,5.00
Item,22-1824,72.00,20.00
Item,22-1826,197.00,41.00
Item,22-1828,82.00,18.00
Item,22-1829,49.00,26.00
Item,22-1836,22.00,5.00
Item,22-1840,12.00,3.00
Item,22-1842,5.00,1.00
Item,22-1843,22.00,5.00
Item,22-1845,455.00,159.00
Item,22-1847,77.00,23.00
Item,22-1848,335.00,199.00
Item,22-1849,20.00,4.00
Item,22-1850,114.00,34.00
Item,22-1853,20.00,4.00
Item,22-1854,22.00,5.00
Item,22-1855,148.00,40.00
Item,22-1856,7.00,2.00
Item,22-1857,5.00,1.00
Item,22-1859,7.00,2.00
Item,22-1861,35.00,13.00
Item,22-1863,248.00,124.00
Item,22-1864,325.00,162.00
Item,22-1870,7.00,2.00
Item,22-1876,5.00,2.00
Item,22-1877,16.00,5.00
Item,22-1880,5.00,1.00
Item,22-1885,5.00,2.00
Item,22-1886,4.00,1.00
Item,22-1887,9.00,3.00
Item,22-1889,47.00,11.00
Item,22-1890,22.00,5.00
Item,22-1893,25.00,10.00
Item,22-1896,22.00,7.00
Item,22-1902,45.00,14.00
Item,22-1903,42.00,10.00
Item,22-1904,22.00,6.00
Item,22-1906,37.00,8.00
Item,22-1907,57.00,18.00
Item,22-1919,72.00,15.00
Item,22-1920,20.00,4.00
Item,22-1921,10.00,3.00
Item,22-1922,8.00,2.00
Item,22-1929,112.00,24.00
Item,22-1930,30.00,6.00
Item,22-1931,12.00,3.00
Item,22-1933,36.00,11.00
Item,22-1934,22.00,5.00
Item,22-1935,10.00,3.00
Item,22-1936,62.00,13.00
Item,22-1940,15.00,4.00
Item,22-1941,40.00,12.00
Item,22-1943,5.00,2.00
Item,22-1944,140.00,29.00
Item,22-1945,10.00,2.00
Item,22-1948,12.00,4.00
Item,22-1949,22.00,7.00
Item,22-1950,22.00,6.00
Item,22-1951,32.00,10.00
Item,22-1953,275.00,57.00
Item,22-1957,2.00,1.00
Item,22-1958,3.00,1.00
Item,22-1959,55.00,12.00
Item,22-196,10.00,2.00
Item,22-1962,72.00,15.00
Item,22-1964,35.00,11.00
Item,22-1965,32.00,7.00
Item,22-1969,10.00,3.00
Item,22-197,188.00,105.00
Item,22-1970,22.00,7.00
Item,22-1972,9.00,3.00
Item,22-1974,114.00,24.00
Item,22-1975,107.00,32.00
Item,22-1976,110.00,33.00
Item,22-1980,38.00,15.00
Item,22-1981,34.00,17.00
Item,22-1985,60.00,18.00
Item,22-1986,188.00,149.00
Item,22-1989,67.00,14.00
Item,22-1990,57.00,12.00
Item,22-1991,87.00,18.00
Item,22-1995,18.00,5.00
Item,22-2005,956.00,699.00
Item,22-2013,55.00,12.00
Item,22-2015,7.00,2.00
Item,22-2020,30.00,9.00
Item,22-2021,85.00,53.00
Item,22-2022,15.00,5.00
Item,22-2024,25.00,11.00
Item,22-2025,40.00,8.00
Item,22-2026,17.00,4.00
Item,22-203,54.00,19.00
Item,22-2032,21.00,4.00
Item,22-2033,27.00,6.00
Item,22-2034,20.00,6.00
Item,22-2039,20.00,6.00
Item,22-204,162.00,57.00
Item,22-2041,10.00,2.00
Item,22-2042,10.00,2.00
Item,22-2045,565.00,399.00
Item,22-2046,192.00,40.00
Item,22-2048,392.00,117.00
Item,22-205,45.00,10.00
Item,22-2053,245.00,165.00
Item,22-2056,79.00,29.00
Item,22-2057,69.00,29.00
Item,22-2058,10.00,2.00
Item,22-2061,22.00,7.00
Item,22-2062,594.00,125.00
Item,22-2063,57.00,12.00
Item,22-2064,657.00,197.00
Item,22-2065,726.00,218.00
Item,22-2066,30.00,12.00
Item,22-2067,85.00,26.00
Item,22-2068,480.00,168.00
Item,22-2070,207.00,43.00
Item,22-2071,45.00,14.00
Item,22-2072,168.00,67.00
Item,22-2073,68.00,34.00
Item,22-2074,165.00,99.00
Item,22-2076,38.00,19.00
Item,22-2078,18.00,5.00
Item,22-2080,36.00,11.00
Item,22-2081,5.00,2.00
Item,22-2083,51.00,11.00
Item,22-2084,28.00,11.00
Item,22-2085,28.00,8.00
Item,22-2086,2.00,1.00
Item,22-2087,80.00,17.00
Item,22-2093,112.00,34.00
Item,22-2095,108.00,32.00
Item,22-2097,23.00,7.00
Item,22-2098,32.00,7.00
Item,22-2101,5.00,1.00
Item,22-2102,276.00,149.00
Item,22-2103,361.00,199.00
Item,22-2105,47.00,16.00
Item,22-2106,66.00,30.00
Item,22-2107,9.00,2.00
Item,22-2120,33.00,7.00
Item,22-2121,62.00,29.00
Item,22-2126,27.00,8.00
Item,22-2127,405.00,223.00
Item,22-2132,56.00,28.00
Item,22-2133,150.00,32.00
Item,22-2136,8.00,3.00
Item,22-214,40.00,16.00
Item,22-2141,158.00,119.00
Item,22-2142,80.00,39.00
Item,22-2144,15.00,5.00
Item,22-2149,625.00,131.00
Item,22-2152,39.00,12.00
Item,22-2154,57.00,17.00
Item,22-2160,95.00,20.00
Item,22-2161,135.00,28.00
Item,22-2163,135.00,28.00
Item,22-2164,152.00,32.00
Item,22-2165,130.00,75.00
Item,22-2166,150.00,91.00
Item,22-2167,165.00,115.00
Item,22-2169,98.00,68.00
Item,22-2170,18.00,4.00
Item,22-2171,28.00,8.00
Item,22-2173,5.00,1.00
Item,22-2174,5.00,2.00
Item,22-2176,48.00,19.00
Item,22-2178,39.00,12.00
Item,22-2180,48.00,39.00
Item,22-2182,75.00,23.00
Item,22-2183,42.00,12.00
Item,22-2185,15.00,5.00
Item,22-2187,145.00,51.00
Item,22-2188,165.00,76.00
Item,22-2192,20.00,6.00
Item,22-2198,140.00,49.00
Item,22-2199,168.00,35.00
Item,22-2200,87.00,26.00
Item,22-2201,33.00,10.00
Item,22-2203,43.00,13.00
Item,22-2204,18.00,5.00
Item,22-2205,18.00,5.00
Item,22-2207,42.00,13.00
Item,22-2208,145.00,50.00
Item,22-2210,21.00,6.00
Item,22-2212,45.00,14.00
Item,22-2213,51.00,15.00
Item,22-2217,27.00,8.00
Item,22-2218,47.00,13.00
Item,22-2222,30.00,9.00
Item,22-2223,39.00,11.00
Item,22-2224,45.00,36.00
Item,22-2225,51.00,11.00
Item,22-2226,85.00,34.00
Item,22-2227,9.00,2.00
Item,22-2228,45.00,15.00
Item,22-2235,129.00,39.00
Item,22-2239,49.00,15.00
Item,22-2241,99.00,30.00
Item,22-2242,84.00,18.00
Item,22-2249,84.00,25.00
Item,22-2250,170.00,60.00
Item,22-2251,210.00,74.00
Item,22-2252,10.00,2.00
Item,22-2257,9.00,3.00
Item,22-2260,66.00,20.00
Item,22-2262,"2,430.00","1,899.00"
Item,22-2267,62.00,49.00
Item,22-2269,25.00,8.00
Item,22-2270,17.00,7.00
Item,22-2272,22.00,11.00
Item,22-2273,39.00,10.00
Item,22-2275,657.00,138.00
Item,22-2276,38.00,19.00
Item,22-2278,"1,140.00",239.00
Item,22-2280,45.00,40.00
Item,22-2284,10.00,5.00
Item,22-2285,15.00,5.00
Item,22-2286,18.00,5.00
Item,22-2287,4.00,1.00
Item,22-2290,28.00,17.00
Item,22-2291,66.00,18.00
Item,22-2292,6.00,2.00
Item,22-2293,6.00,2.00
Item,22-2296,30.00,11.00
Item,22-2300,23.00,9.00
Item,22-2301,18.00,5.00
Item,22-2302,40.00,20.00
Item,22-2303,16.00,5.00
Item,22-2304,18.00,5.00
Item,22-2305,25.00,8.00
Item,22-2306,28.00,14.00
Item,22-2307,75.00,16.00
Item,22-2310,108.00,22.00
Item,22-2311,435.00,245.00
Item,22-2312,178.00,99.00
Item,22-2314,6.00,1.00
Item,22-2315,45.00,14.00
Item,22-2316,198.00,79.00
Item,22-2321,245.00,108.00
Item,22-2322,325.00,149.00
Item,22-2325,198.00,79.00
Item,22-2326,175.00,49.00
Item,22-2331,200.00,90.00
Item,22-2333,52.00,42.00
Item,22-2337,"1,968.00",590.00
Item,22-2341,187.00,93.00
Item,22-2346,759.00,204.00
Item,22-2347,49.00,11.00
Item,22-2349,14.00,9.00
Item,22-2350,16.00,8.00
Item,22-2351,25.00,12.00
Item,22-2352,34.00,16.00
Item,22-2354,180.00,38.00
Item,22-2357,27.00,8.00
Item,22-2360,140.00,49.00
Item,22-2361,48.00,33.00
Item,22-2363,39.00,12.00
Item,22-2366,75.00,34.00
Item,22-2367,115.00,92.00
Item,22-2373,52.00,13.00
Item,22-2374,39.00,8.00
Item,22-2378,192.00,99.00
Item,22-2379,517.00,465.00
Item,22-2380,575.00,201.00
Item,22-2381,23.00,7.00
Item,22-2383,165.00,34.00
Item,22-2386,110.00,39.00
Item,22-2388,198.00,59.00
Item,22-2389,375.00,113.00
Item,22-2390,468.00,112.00
Item,22-2391,55.00,17.00
Item,22-2392,30.00,25.00
Item,22-2394,27.00,6.00
Item,22-2395,30.00,27.00
Item,22-2397,30.00,27.00
Item,22-2398,30.00,27.00
Item,22-2399,35.00,27.00
Item,22-2404,78.00,29.00
Item,22-2416,9.00,3.00
Item,22-2417,110.00,59.00
Item,22-2418,135.00,60.00
Item,22-2420,95.00,29.00
Item,22-2423,9.00,3.00
Item,22-2425,15.00,5.00
Item,22-2430,90.00,27.00
Item,22-2433,215.00,45.00
Item,22-2435,25.00,15.00
Item,22-2436,25.00,15.00
Item,22-2438,29.00,17.00
Item,22-2439,29.00,16.00
Item,22-2440,29.00,17.00
Item,22-2441,34.00,20.00
Item,22-2442,34.00,20.00
Item,22-2443,34.00,20.00
Item,22-2448,66.00,33.00
Item,22-2449,17.00,4.00
Item,22-2450,20.00,4.00
Item,22-2453,15.00,5.00
Item,22-2454,78.00,23.00
Item,22-2456,158.00,47.00
Item,22-2458,12.00,10.00
Item,22-2459,24.00,7.00
Item,22-2462,"2,250.00",675.00
Item,22-2465,"2,450.00",735.00
Item,22-2467,12.00,3.00
Item,22-2468,135.00,28.00
Item,22-2469,80.00,17.00
Item,22-2472,97.00,29.00
Item,22-2473,108.00,32.00
Item,22-2474,128.00,34.00
Item,22-2475,80.00,28.00
Item,22-2479,32.00,16.00
Item,22-2483,15.00,5.00
Item,22-2484,10.00,4.00
Item,22-2488,85.00,26.00
Item,22-2490,5.00,1.00
Item,22-2498,285.00,114.00
Item,22-2500,162.00,65.00
Item,22-2502,245.00,74.00
Item,22-2503,50.00,15.00
Item,22-2505,150.00,75.00
Item,22-2506,160.00,34.00
Item,22-2508,845.00,249.00
Item,22-2510,295.00,195.00
Item,22-2512,25.00,8.00
Item,22-2513,25.00,8.00
Item,22-2514,25.00,8.00
Item,22-2515,42.00,13.00
Item,22-2516,64.00,29.00
Item,22-2517,30.00,15.00
Item,22-2520,46.00,14.00
Item,22-2522,32.00,10.00
Item,22-2523,35.00,11.00
Item,22-2533,120.00,25.00
Item,22-2539,25.00,8.00
Item,22-2541,85.00,26.00
Item,22-2542,75.00,23.00
Item,22-2546,29.00,9.00
Item,22-2551,145.00,30.00
Item,22-2553,275.00,57.00
Item,22-2554,29.00,9.00
Item,22-2556,15.00,5.00
Item,22-2557,58.00,28.00
Item,22-2558,15.00,5.00
Item,22-2572,215.00,51.00
Item,22-2574,10.00,3.00
Item,22-2575,166.00,50.00
Item,22-2580,275.00,83.00
Item,22-2581,295.00,89.00
Item,22-2583,11.00,3.00
Item,22-2584,12.00,5.00
Item,22-2585,23.00,18.00
Item,22-2586,5.00,4.00
Item,22-2588,38.00,17.00
Item,22-2589,58.00,20.00
Item,22-2591,64.00,39.00
Item,22-2594,15.00,5.00
Item,22-2595,32.00,24.00
Item,22-2596,48.00,29.00
Item,22-2599,340.00,102.00
Item,22-2608,295.00,89.00
Item,22-2609,32.00,10.00
Item,22-2611,32.00,16.00
Item,22-2613,10.00,3.00
Item,22-2614,210.00,63.00
Item,22-2615,285.00,142.00
Item,22-2616,60.00,21.00
Item,22-2617,12.00,5.00
Item,22-2618,12.00,5.00
Item,22-2619,10.00,3.00
Item,22-2620,10.00,4.00
Item,22-2624,14.00,5.00
Item,22-2626,24.00,12.00
Item,22-2629,155.00,119.00
Item,22-2630,196.00,139.00
Item,22-2631,15.00,5.00
Item,22-2636,98.00,29.00
Item,22-2638,138.00,48.00
Item,22-2639,20.00,10.00
Item,22-2640,15.00,10.00
Item,22-2642,18.00,5.00
Item,22-2644,45.00,19.00
Item,22-2645,48.00,35.00
Item,22-2647,240.00,84.00
Item,22-2648,98.00,29.00
Item,22-2649,112.00,34.00
Item,22-2650,79.00,59.00
Item,22-2651,88.00,59.00
Item,22-2653,98.00,29.00
Item,22-2654,19.00,9.00
Item,22-2656,39.00,12.00
Item,22-2657,30.00,14.00
Item,22-2658,95.00,49.00
Item,22-2661,205.00,71.00
Item,22-2665,9.00,5.00
Item,22-2666,45.00,22.00
Item,22-2668,115.00,19.00
Item,22-2670,130.00,46.00
Item,22-2671,160.00,80.00
Item,22-2672,595.00,208.00
Item,22-2673,40.00,16.00
Item,22-2674,40.00,19.00
Item,22-2676,118.00,35.00
Item,22-2677,65.00,20.00
Item,22-2679,145.00,63.00
Item,22-2682,120.00,36.00
Item,22-2683,118.00,35.00
Item,22-2685,145.00,72.00
Item,22-2686,138.00,41.00
Item,22-2694,17.00,6.00
Item,22-2695,18.00,5.00
Item,22-2696,40.00,12.00
Item,22-2697,22.00,11.00
Item,22-2698,17.00,7.00
Item,22-2699,13.00,5.00
Item,22-2700,20.00,9.00
Item,22-2701,18.00,7.00
Item,22-2702,36.00,14.00
Item,22-2705,180.00,54.00
Item,22-2706,195.00,97.00
Item,22-2707,243.00,97.00
Item,22-2708,28.00,12.00
Item,22-2709,38.00,13.00
Item,22-2711,24.00,8.00
Item,22-2712,118.00,35.00
Item,22-2713,138.00,41.00
Item,22-2714,54.00,16.00
Item,22-2715,65.00,20.00
Item,22-2719,50.00,15.00
Item,22-2722,12.00,4.00
Item,22-2723,12.00,4.00
Item,22-2724,10.00,4.00
Item,22-2725,10.00,4.00
Item,22-2726,160.00,56.00
Item,22-2731,420.00,147.00
Item,22-2732,420.00,147.00
Item,22-2733,420.00,147.00
Item,22-2737,445.00,249.00
Item,22-2738,445.00,299.00
Item,22-2739,135.00,67.00
Item,22-2740,697.00,499.00
Item,22-2741,36.00,29.00
Item,22-2743,48.00,14.00
Item,22-2745,44.00,19.00
Item,22-2746,54.00,19.00
Item,22-2748,30.00,12.00
Item,22-2754,85.00,49.00
Item,22-2755,46.00,19.00
Item,22-2756,12.00,4.00
Item,22-2760,22.00,18.00
Item,22-2761,49.00,29.00
Item,22-2766,31.00,24.00
Item,22-2769,98.00,68.00
Item,22-2778,345.00,138.00
Item,22-2779,65.00,20.00
Item,22-2780,130.00,46.00
Item,22-2781,85.00,29.00
Item,22-2783,130.00,46.00
Item,22-2784,120.00,42.00
Item,22-2787,15.00,5.00
Item,22-2795,55.00,17.00
Item,22-2796,65.00,20.00
Item,22-2797,75.00,23.00
Item,22-2806,180.00,90.00
Item,22-2807,32.00,19.00
Item,22-2808,32.00,20.00
Item,22-2809,32.00,15.00
Item,22-2810,32.00,18.00
Item,22-2812,36.00,22.00
Item,22-2813,36.00,19.00
Item,22-2814,36.00,19.00
Item,22-2816,41.00,21.00
Item,22-2817,41.00,22.00
Item,22-2818,41.00,21.00
Item,22-2821,52.00,46.00
Item,22-2823,120.00,42.00
Item,22-2824,95.00,38.00
Item,22-2826,88.00,40.00
Item,22-2827,148.00,59.00
Item,22-2828,145.00,79.00
Item,22-2830,240.00,84.00
Item,22-2837,65.00,26.00
Item,22-2838,95.00,29.00
Item,22-2840,79.00,55.00
Item,22-2841,"2,485.00","1,217.00"
Item,22-2845,445.00,199.00
Item,22-2859,130.00,75.00
Item,22-2860,150.00,91.00
Item,22-2861,165.00,115.00
Item,22-2863,35.00,21.00
Item,22-2866,40.00,23.00
Item,22-2867,40.00,24.00
Item,22-2870,46.00,24.00
Item,22-2871,46.00,25.00
Item,22-2873,46.00,23.00
Item,22-2874,52.00,26.00
Item,22-2875,52.00,27.00
Item,22-2881,22.00,9.00
Item,22-2883,18.00,9.00
Item,22-2884,18.00,12.00
Item,22-2885,18.00,9.00
Item,22-2888,34.00,15.00
Item,22-2889,52.00,42.00
Item,22-2891,76.00,59.00
Item,22-2892,76.00,59.00
