Type,No.,Standard Price Including VAT,Offer Price Including VAT
Item,11-456,20.00,6.00
Item,22-3510,115.00,69.00
Item,22-3214,285.00,129.00
Item,11-457,67.00,14.00
Item,22-40481,69.00,35.00
Item,22-2590,28.00,17.00
Item,11-458,322.00,97.00
Item,22-40482,54.00,32.00
Item,22-3657,64.00,29.00
Item,11-459,67.00,20.00
Item,22-40483,44.00,29.00
Item,18-888,885.00,199.00
Item,11-460,107.00,32.00
Item,6-20,495.00,295.00
Item,18-889,885.00,199.00
Item,11-461,10.00,2.00
Item,6-21,275.00,159.00
Item,18-891,"1,445.00",599.00
Item,11-462,32.00,7.00
Item,6-31,237.00,195.00
Item,13-46,48.00,29.00
Item,11-463,10.00,2.00
Item,22-3835,285.00,199.00
Item,13-47,48.00,29.00
Item,11-464,107.00,22.00
Item,30-33,494.00,246.00
Item,22-2854,46.00,29.00
Item,11-465,55.00,12.00
Item,22-3872,58.00,39.00
Item,22-2855,51.00,34.00
Item,11-466,110.00,23.00
Item,22-3873,44.00,29.00
Item,22-2856,56.00,39.00
Item,11-468,55.00,12.00
Item,22-3944,96.00,79.00
Item,22-3679,485.00,338.00
Item,11-469,67.00,14.00
Item,22-2466,22.00,9.00
Item,22-3684,685.00,435.00
Item,11-470,165.00,34.00
Item,22-2880,30.00,19.00
Item,22-3746,"1,585.00",999.00
Item,11-473,167.00,35.00
Item,22-3436,39.00,29.00
Item,22-3747,"1,585.00",999.00
Item,11-475,5.00,1.00
Item,22-3495,34.00,19.00
Item,22-3748,"1,585.00",999.00
Item,11-476,42.00,12.00
Item,22-3496,34.00,19.00
Item,22-3977,16.00,5.00
Item,11-480,45.00,10.00
Item,22-3727,155.00,99.00
Item,LS-TS10,182.00,99.00
Item,11-483,55.00,12.00
Item,22-3957,65.00,59.00
Item,LS-TS11,182.00,99.00
Item,11-488,282.00,85.00
Item,22-2747,20.00,9.00
Item,LS-TS12,182.00,99.00
Item,11-489,510.00,153.00
Item,22-1489,225.00,199.00
Item,LS-TS14,182.00,99.00
Item,11-491,22.00,5.00
Item,22-2834,685.00,199.00
Item,22-3292,38.00,16.00
Item,11-494,47.00,10.00
Item,22-2941,147.00,99.00
Item,22-3441,37.00,19.00
