SKU,Part#,DESC EN,img links
11-393,31111000000302,T4-(DC ADAPTER),https://i.ibb.co/FnRpqCV/11-393-Large.jpg
11-394,31111000000303,T4-(CHARGING CRADLE),https://sep.yimg.com/ca/I/theshorelinemarket_2613_3626026
11-399,31111000000307,4X1W LED,https://i.ibb.co/JpnqS2C/11-399-1-Large.jpg
11-400,31111000000308,DC 12V LIGHT (3W),https://alrimaya.com/image/catalog/11-12-13-14/11-400%20%D9%84%D9%85%D8%A8%D8%A9%20(3).png
11-405,31111000000313,T3R- RECHARGE FLASH LIGHT,https://m.media-amazon.com/images/I/71nVn70zE4L._AC_SL1500_.jpg
11-406,31111000000315,35W HANDHELD SPOTLIGHT,https://i.ibb.co/18J5Jgg/11-406-1-Large.jpg
11-407,31111000000316,CREE R5 LED WORK LIGHT WITH SUCK BASE,https://i.ibb.co/wSjq2wz/11-407-Large.jpg
11-408,31111000000317,CREE R5 LED WORK LIGHT WITH MAGNETIC BASE,https://i.ibb.co/f8kWc69/11-408-Large.jpg
11-409,31111000000318,REMOTE 55W HID SERCHLIGHT,https://alrimaya.com/image/cache/catalog/11-12-13-14/11-409%D9%83%D8%B4%D8%A7%D9%81%20%D9%85%D8%AA%D8%AD%D8%B1%D9%83%20%D8%A8%D8%A7%D9%84%D8%B1%D9%8A%D9%85%D9%88%D8%AA%20%20(4)-800x800.png
11-411,31111000000320,4W SOLAR DC LIGHTING KIT,https://alrimaya.com/image/cache/catalog/11-12-13-14/11-411%20%D9%84%D9%85%D8%A8%D8%A7%D8%AA%20%D8%AC%D9%84%D8%B3%D8%A9%20%D8%B9%D9%84%D9%89%20%D8%A7%D9%84%D8%B7%D8%A7%D9%82%D8%A9%20%D8%A7%D9%84%D8%B4%D9%85%D8%B3%D9%8A%D8%A9%20%20%20(5)-800x800.png
11-412,31111000000321,SOLA LED LIGHT BULB(YELLOW),https://i.ibb.co/LxY39kB/20230219-151240.jpg
11-414,31111000000323,LED SPOT LIGHT HML-028-10W-6400K,https://alrimaya.com/image/catalog/product/1456/11-414-1000-1456-thumb.jpg
